epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,194.754,0.65959,1.46333,0.76016,0.00534,0.238,0.91859,0.41667,0.52578,0.30511,0.87001,0.43333,0.51977,0.24989,1.81993,3.47221,1.95646,0.01521,0,2.11444e-05,2.11444e-05,2.11444e-05
80,197.275,0.92605,1.69466,1.23493,0.00987,0.239,0.91859,0.41667,0.52578,0.30511,0.87001,0.43333,0.51977,0.24989,1.81993,3.47221,1.95646,0.01521,0,2.04848e-05,2.04848e-05,2.04848e-05
81,199.703,0.69894,1.35552,1.1307,0.0086,0.43364,0.92812,0.42497,0.52787,0.32281,0.89074,0.43333,0.52039,0.24999,1.88915,3.40359,1.87489,0.01574,0,1.98016e-05,1.98016e-05,1.98016e-05
82,202.195,0.5788,1.34938,0.54976,0.00582,0.28788,0.92812,0.42497,0.52787,0.32281,0.89074,0.43333,0.52039,0.24999,1.88915,3.40359,1.87489,0.01574,0,1.90949e-05,1.90949e-05,1.90949e-05
83,204.594,0.85038,1.53223,0.92732,0.01217,0.20062,0.92812,0.42497,0.52787,0.32281,0.89074,0.43333,0.52039,0.24999,1.88915,3.40359,1.87489,0.01574,0,1.83646e-05,1.83646e-05,1.83646e-05
84,207.054,0.68126,1.55695,0.78773,0.00892,0.23325,0.75763,0.43207,0.52782,0.30666,0.72531,0.42208,0.52031,0.25004,1.91198,3.43843,1.83948,0.016,0,1.76107e-05,1.76107e-05,1.76107e-05
85,209.525,0.73853,1.58267,0.92331,0.00675,0.4305,0.75763,0.43207,0.52782,0.30666,0.72531,0.42208,0.52031,0.25004,1.91198,3.43843,1.83948,0.016,0,1.68333e-05,1.68333e-05,1.68333e-05
86,212.163,0.98578,2.27972,1.57461,0.0161,0.33748,0.75763,0.43207,0.52782,0.30666,0.72531,0.42208,0.52031,0.25004,1.91198,3.43843,1.83948,0.016,0,1.60323e-05,1.60323e-05,1.60323e-05
87,214.619,0.77346,1.54296,1.04395,0.00734,0.3208,0.75763,0.43207,0.52782,0.30666,0.72531,0.42208,0.52031,0.25004,1.91198,3.43843,1.83948,0.016,0,1.52077e-05,1.52077e-05,1.52077e-05
88,217.171,0.95542,1.81324,1.1217,0.00925,0.22408,0.9316,0.42466,0.52763,0.30853,0.88876,0.43333,0.52024,0.25012,1.86676,3.49622,1.98837,0.01587,0,1.43596e-05,1.43596e-05,1.43596e-05
